ID	Prolif_1	Prolif_2	Prolif_3	Senes_1	Senes_2	Senes_3	Senes_MtD_1	Senes_MtD_2	Senes_MtD_3
ENSG00000152601	10009.29	9119.36	10023.5	6024.17	4625.66	6409.76	15332.16	13354.32	13445.95
ENSG00000124226	2996.46	3198.94	3056.38	2836.8	2893.43	2817.95	6835.38	7248.4	6778.47
ENSG00000156738	0	0	0	0	3.19	0	0.96	1.5	2.54
ENSG00000102854	2.58	2.64	2.32	2.07	2.13	2.06	0	1.5	0
ENSG00000156735	1356.86	1129.04	1178.21	1194.88	926.2	1127.39	1110.5	1025.76	1047.27
ENSG00000092529	1.29	0.88	0	17.63	13.82	14.39	9.63	9.73	8.47
ENSG00000124225	294.35	249.73	243.77	274.86	250.96	266.17	515.28	455.64	501.61
ENSG00000225345	0	1.76	1.16	3.11	3.19	4.11	2.89	2.99	1.69
ENSG00000225342	3.87	3.52	1.16	8.3	2.13	9.25	0	0.75	1.69
ENSG00000282021	6.46	12.31	11.61	24.89	29.77	30.83	13.48	11.22	10.17
ENSG00000282022	1.29	0	1.16	5.19	3.19	2.06	0	0	0
ENSG00000213366	371.81	372.83	386.55	1252.96	1268.6	1141.77	202.26	208.74	216.06
ENSG00000178950	3656.17	3978.01	4074.4	4130.21	3985.52	3902.18	4086.59	3974.35	3946.77
ENSG00000178952	5959.35	6500.77	5931.68	6501.29	8912.11	6886.62	7147.43	8348.23	7630.87
ENSG00000108932	555.14	510	531.65	630.63	588.04	648.48	467.12	470.61	511.77
ENSG00000140379	27.11	29.9	35.98	5.19	6.38	2.06	4.82	6.73	8.47
ENSG00000166104	2.58	0	0	2.07	2.13	1.03	0	0.75	0.85
ENSG00000166105	0	0.88	1.16	2.07	1.06	1.03	7.71	8.23	8.47
ENSG00000166106	18.07	21.98	13.93	87.13	109.53	115.1	50.08	37.41	33.89
ENSG00000185442	6.46	10.55	3.48	9.33	17.01	17.47	10.59	10.47	7.63
ENSG00000244019	0	1.76	1.16	1.04	1.06	0	0	1.5	1.69
ENSG00000244018	2.58	0	0	1.04	2.13	0	0.96	2.24	1.69
ENSG00000140374	3879.52	4013.19	3801.62	3489.21	3752.64	3464.38	3562.64	3940.68	3708.67
ENSG00000255815	1.29	1.76	0	5.19	0	1.03	0.96	0	1.69
ENSG00000279233	20.66	28.14	29.02	60.16	37.22	50.36	27.93	31.42	29.66
ENSG00000279232	7.75	4.4	3.48	21.78	14.89	20.55	5.78	2.99	5.93
ENSG00000270510	1.29	0	1.16	5.19	3.19	1.03	2.89	0.75	0
ENSG00000167004	14410.38	14227.29	13648.67	16073.79	22491.37	17614.77	12057.5	13416.42	12527.47
ENSG00000278727	33.57	24.62	34.82	49.79	36.15	40.08	18.3	17.21	28.81
ENSG00000158079	373.11	340.29	399.31	314.28	278.6	315.5	359.25	303.76	368.58
ENSG00000196323	650.67	602.33	650.05	619.22	488.09	654.64	2429.99	1822.57	2074.21
ENSG00000130544	255.62	242.69	262.34	240.63	216.93	226.09	294.72	264.11	304.18
ENSG00000159388	784.94	757.97	734.79	1872.18	1785.4	1752.23	3097.45	2924.65	3075.73
ENSG00000157954	2775.7	2985.27	2722.07	3746.44	3621.84	3462.32	4076.95	4198.05	4135.72
ENSG00000050555	0	0.88	1.16	1.04	4.25	3.08	0	1.5	0
ENSG00000233954	95.54	91.45	87.06	70.53	95.7	63.72	119.43	142.15	135.57
ENSG00000233952	0	0.88	3.48	1.04	2.13	5.14	0.96	2.99	2.54
ENSG00000173868	11.62	10.55	11.61	10.37	17.01	15.42	13.48	4.49	3.39
ENSG00000154608	45.19	59.79	46.43	12.45	5.32	11.3	33.71	13.47	17.79
ENSG00000129657	3913.09	3621.01	3567.13	2471.69	1701.39	2666.88	5099.81	4290.08	4321.28
ENSG00000234756	0	0	0	6.22	11.7	5.14	3.85	1.5	0
ENSG00000011405	3019.7	2615.08	2892.71	2183.35	1248.4	2445.93	2033.18	1476.91	1681.06
ENSG00000253302	0	0	0	1.04	4.25	1.03	0.96	0	1.69
ENSG00000253304	752.67	817.76	720.86	458.45	541.26	510.77	572.1	602.29	627.01
ENSG00000253309	1.29	1.76	6.96	7.26	6.38	7.19	11.56	15.71	12.71
ENSG00000121797	23.24	24.62	22.06	17.63	26.58	18.5	9.63	12.72	8.47
ENSG00000205177	3.87	4.4	0	3.11	3.19	0	0	0.75	1.69
ENSG00000120889	6776.57	7211.25	6929.97	8420.15	7793.45	9007.79	14299.68	12831.34	14189.89
ENSG00000179562	1356.86	1224.88	1242.05	1160.65	905.99	1085.25	3233.25	3039.87	3285.87
ENSG00000120129	3963.44	4210.15	4384.34	5837.47	5513.58	5237.16	9057.33	9218.36	9200.08
ENSG00000142156	45372.95	46447.11	45745.91	75639.25	83649.04	75589.37	45172.04	47430.31	46302.07
ENSG00000175899	77.46	64.19	75.45	2903.18	3136.95	4958.65	337.1	297.03	362.65
ENSG00000033867	3896.3	3089.91	3841.08	4999.4	3667.57	5288.54	1507.31	1268.17	1426.87
ENSG00000242553	12.91	7.91	9.29	18.67	7.44	12.33	12.52	11.22	13.56
ENSG00000176994	1791.94	1712.02	1794.59	1280.97	759.25	1316.48	5710.43	4272.12	5183.84
ENSG00000170748	0	0	0	2.07	0	0	2.89	2.99	4.24
ENSG00000174842	530.61	531.98	569.95	391.03	392.38	365.86	346.73	380.83	328.76
ENSG00000174840	1913.29	1848.32	1900.23	1270.59	1003.82	1285.65	2662.11	2263.25	2396.19
ENSG00000170745	258.2	320.07	284.4	96.46	115.91	128.46	78.98	101	94.9
ENSG00000174844	2.58	2.64	0	22.82	18.08	22.61	6.74	10.47	11.02
ENSG00000178177	588.71	517.92	607.1	226.11	148.87	193.21	551.88	443.67	462.63
ENSG00000128218	0	1.76	0	1.04	3.19	6.17	0.96	0.75	0
ENSG00000124942	61261.55	55147.91	63213.6	36009.16	28452.62	38707.28	71623.61	53940.25	64772.56
ENSG00000231084	23.24	12.31	19.73	12.45	9.57	7.19	0.96	3.74	5.08
ENSG00000231086	1.29	0.88	0	1.04	3.19	1.03	0.96	0.75	0.85
ENSG00000160179	0	0	0	4.15	2.13	1.03	0.96	5.24	4.24
ENSG00000140743	1892.64	1866.78	1868.89	1628.44	1345.16	1644.32	1234.74	1282.39	1223.51
ENSG00000078674	4840.04	4251.48	4611.85	2874.14	2197.99	3183.81	7470.08	6019.88	6618.33
ENSG00000160172	38.73	38.69	29.02	44.6	64.87	60.63	52.01	47.88	44.06
ENSG00000241852	396.34	399.21	340.11	467.79	694.38	438.83	896.68	1099.83	954.92
ENSG00000274986	0	0	0	1.04	4.25	2.06	1.93	0	2.54
ENSG00000274987	2.58	1.76	6.96	6.22	12.76	7.19	1.93	2.99	0.85
ENSG00000088280	837.87	932.07	860.15	1681.33	1701.39	1793.34	313.02	306.76	233.01
ENSG00000243566	0	0.88	1.16	4.15	7.44	5.14	0	1.5	3.39
ENSG00000248489	7.75	8.79	10.45	17.63	21.27	20.55	10.59	11.97	15.25
ENSG00000248483	1.29	0.88	0	2.07	1.06	1.03	0	1.5	0.85
ENSG00000248487	67.13	78.26	68.49	156.62	266.91	126.41	100.17	144.4	133.03
ENSG00000231628	6.46	4.4	8.13	14.52	6.38	8.22	3.85	5.99	6.78
ENSG00000175711	213.02	262.04	265.82	245.82	266.91	237.4	156.99	151.88	166.07
ENSG00000135063	1.29	1.76	2.32	1.04	3.19	5.14	8.67	14.96	12.71
